test	machine	time	rows	dataset	matches	ndistinct	build	prefetch	table_size	index_size	scan_type	caching	run	value	nfound	cost	duration	point_cheapest	indexscan	bitmapscan	seqscan
btree	i5	1687996658	1000000	cycle	1000	1000	master	0	43479	896	indexscan	cached	3	441	1001	3965.85	8.453	f	3965.85	3523.17	55978.9
btree	i5	1687996659	1000000	cycle	1000	1000	master	0	43479	896	indexscan	cached	4	749	1001	3965.85	8.612	f	3965.85	3523.17	55978.9
btree	i5	1687996660	1000000	cycle	1000	1000	master	0	43479	896	indexscan	cached	5	907	1001	3965.85	8.426	f	3965.85	3523.17	55978.9
btree	i5	1687996657	1000000	cycle	1000	1000	master	0	43479	896	seqscan	cached	1	55	1001	55978.9	144.19	f	3965.85	3523.17	55978.9
btree	i5	1687996668	1000000	cycle	1000	1000	patched	0	43479	896	bitmapscan	cached	1	11	1001	3523.17	8.813	t	3965.85	3523.17	55978.9
btree	i5	1687996669	1000000	cycle	1000	1000	patched	0	43479	896	bitmapscan	cached	2	275	1001	3523.17	8.836	t	3965.85	3523.17	55978.9
btree	i5	1687996670	1000000	cycle	1000	1000	patched	0	43479	896	bitmapscan	cached	3	559	1001	3523.17	8.92	t	3965.85	3523.17	55978.9
btree	i5	1687996671	1000000	cycle	1000	1000	patched	0	43479	896	bitmapscan	cached	4	745	1001	3523.17	8.899	t	3965.85	3523.17	55978.9
btree	i5	1687996672	1000000	cycle	1000	1000	patched	0	43479	896	bitmapscan	cached	5	959	1001	3523.17	8.745	t	3965.85	3523.17	55978.9
btree	i5	1687996667	1000000	cycle	1000	1000	patched	0	43479	896	indexscan	cached	1	164	1001	3965.85	8.659	f	3965.85	3523.17	55978.9
btree	i5	1687996669	1000000	cycle	1000	1000	patched	0	43479	896	indexscan	cached	2	351	1001	3965.85	8.321	f	3965.85	3523.17	55978.9
btree	i5	1687996670	1000000	cycle	1000	1000	patched	0	43479	896	indexscan	cached	3	503	1001	3965.85	8.466	f	3965.85	3523.17	55978.9
btree	i5	1687996671	1000000	cycle	1000	1000	patched	0	43479	896	indexscan	cached	4	611	1001	3965.85	8.551	f	3965.85	3523.17	55978.9
btree	i5	1687996672	1000000	cycle	1000	1000	patched	0	43479	896	indexscan	cached	5	934	1001	3965.85	8.6	f	3965.85	3523.17	55978.9
btree	i5	1687996668	1000000	cycle	1000	1000	patched	0	43479	896	seqscan	cached	1	187	1001	55978.9	144.266	f	3965.85	3523.17	55978.9
btree	i5	1687996706	1000000	cycle	10000	100	master	0	43479	852	bitmapscan	cached	1	12	10001	21433.31	22.661	t	35544.57	23519.69	55978.9
btree	i5	1687996711	1000000	cycle	10000	100	master	0	43479	852	bitmapscan	cached	2	26	10001	24938.3	22.858	t	35544.57	23519.69	55978.9
btree	i5	1687996715	1000000	cycle	10000	100	master	0	43479	852	bitmapscan	cached	3	45	10001	25540.14	23.04	t	35544.57	23519.69	55978.9
btree	i5	1687996718	1000000	cycle	10000	100	master	0	43479	852	bitmapscan	cached	4	79	10001	23519.69	22.923	t	35544.57	23519.69	55978.9
btree	i5	1687996722	1000000	cycle	10000	100	master	0	43479	852	bitmapscan	cached	5	96	10001	23302.71	22.584	t	35544.57	23519.69	55978.9
btree	i5	1687996704	1000000	cycle	10000	100	master	0	43479	852	indexscan	cached	1	2	10001	34458.86	19.595	f	35544.57	23519.69	55978.9
btree	i5	1687996709	1000000	cycle	10000	100	master	0	43479	852	indexscan	cached	2	25	10001	35544.57	20.01	f	35544.57	23519.69	55978.9
btree	i5	1687996713	1000000	cycle	10000	100	master	0	43479	852	indexscan	cached	3	43	10001	34893.14	19.589	f	35544.57	23519.69	55978.9
btree	i5	1687996716	1000000	cycle	10000	100	master	0	43479	852	indexscan	cached	4	71	10001	36191.99	18.92	f	35544.57	23519.69	55978.9
btree	i5	1687996720	1000000	cycle	10000	100	master	0	43479	852	indexscan	cached	5	81	10001	36730.86	18.973	f	35544.57	23519.69	55978.9
btree	i5	1687996707	1000000	cycle	10000	100	master	0	43479	852	seqscan	cached	1	11	10001	55978.9	148.634	f	35544.57	23519.69	55978.9
btree	i5	1687996740	1000000	cycle	10000	100	patched	0	43479	852	bitmapscan	cached	1	6	10001	23248.26	22.662	t	34458.86	23248.26	55978.9
btree	i5	1687996744	1000000	cycle	10000	100	patched	0	43479	852	bitmapscan	cached	2	24	10001	22972.71	22.385	t	34458.86	23248.26	55978.9
btree	i5	1687996748	1000000	cycle	10000	100	patched	0	43479	852	bitmapscan	cached	3	45	10001	25540.14	22.691	t	34458.86	23248.26	55978.9
btree	i5	1687996752	1000000	cycle	10000	100	patched	0	43479	852	bitmapscan	cached	4	71	10001	23947.63	22.611	t	34458.86	23248.26	55978.9
btree	i5	1687996756	1000000	cycle	10000	100	patched	0	43479	852	bitmapscan	cached	5	92	10001	22524.58	22.311	t	34458.86	23248.26	55978.9
btree	i5	1687996738	1000000	cycle	10000	100	patched	0	43479	852	indexscan	cached	1	10	10001	34458.86	20.408	f	34458.86	23248.26	55978.9
btree	i5	1687996742	1000000	cycle	10000	100	patched	0	43479	852	indexscan	cached	2	31	10001	34458.86	19.097	f	34458.86	23248.26	55978.9
btree	i5	1687996746	1000000	cycle	10000	100	patched	0	43479	852	indexscan	cached	3	57	10001	34237.71	19.368	f	34458.86	23248.26	55978.9
btree	i5	1687996750	1000000	cycle	10000	100	patched	0	43479	852	indexscan	cached	4	74	10001	37800.57	18.94	f	34458.86	23248.26	55978.9
btree	i5	1687996754	1000000	cycle	10000	100	patched	0	43479	852	indexscan	cached	5	96	10001	34893.14	19.046	f	34458.86	23248.26	55978.9
btree	i5	1687996740	1000000	cycle	10000	100	patched	0	43479	852	seqscan	cached	1	4	10001	55978.9	147.997	f	34458.86	23248.26	55978.9
btree	i5	1687996811	1000000	cycle	100000	10	master	0	43479	850	bitmapscan	cached	1	2	100001	45825.55	98.404	t	174138.22	45856.57	55979.21
btree	i5	1687996814	1000000	cycle	100000	10	master	0	43479	850	bitmapscan	cached	2	4	100001	45877.43	97.876	t	174138.22	45856.57	55979.21
btree	i5	1687996816	1000000	cycle	100000	10	master	0	43479	850	bitmapscan	cached	3	5	100001	45860.62	98.114	t	174138.22	45856.57	55979.21
btree	i5	1687996818	1000000	cycle	100000	10	master	0	43479	850	bitmapscan	cached	4	8	100001	45856.57	97.775	t	174138.22	45856.57	55979.21
btree	i5	1687996820	1000000	cycle	100000	10	master	0	43479	850	bitmapscan	cached	5	9	100001	45848.47	99.118	t	174138.22	45856.57	55979.21
