test	machine	rows	dataset	nmatches	ndistinct	build	prefetch	scan_type	caching	duration
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	indexonlyscan-clean	cached-os	7.766
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	indexonlyscan-clean	uncached	14.4
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	indexscan	cached	7.716
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	indexscan	cached-os	7.804
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	indexscan	uncached	12.856
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	seqscan	cached	128.129
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	seqscan	cached-os	142.399
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	seqscan	uncached	369.433
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	bitmapscan	cached	7.644
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	bitmapscan	cached-os	7.929
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	bitmapscan	uncached	14.239
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	indexonlyscan	cached	7.462
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	indexonlyscan	cached-os	7.752
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	indexonlyscan	uncached	12.627
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	indexonlyscan-clean	cached	7.465
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	indexonlyscan-clean	cached-os	7.599
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	indexonlyscan-clean	uncached	15.698
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	indexscan	cached	7.669
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	indexscan	cached-os	7.711
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	indexscan	uncached	13.393
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	seqscan	cached	127.698
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	seqscan	cached-os	143.307
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	0	seqscan	uncached	389.353
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	bitmapscan	cached	7.698
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	bitmapscan	cached-os	7.729
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	bitmapscan	uncached	15.021
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	indexonlyscan	cached	7.515
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	indexonlyscan	cached-os	7.795
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	indexonlyscan	uncached	12.991
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	indexonlyscan-clean	cached	7.559
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	indexonlyscan-clean	cached-os	7.781
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	indexonlyscan-clean	uncached	15.627
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	indexscan	cached	7.528
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	indexscan	cached-os	7.883
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	indexscan	uncached	13.382
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	seqscan	cached	128.027
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	seqscan	cached-os	143.17
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	8	seqscan	uncached	439.95
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	bitmapscan	cached	7.523
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	bitmapscan	cached-os	7.763
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	bitmapscan	uncached	13.008
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	indexonlyscan	cached	7.489
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	indexonlyscan	cached-os	7.747
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	indexonlyscan	uncached	14.72
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	indexonlyscan-clean	cached	7.68
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	indexonlyscan-clean	cached-os	7.749
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	indexonlyscan-clean	uncached	13.045
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	indexscan	cached	7.668
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	indexscan	cached-os	7.809
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	indexscan	uncached	15.45
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	seqscan	cached	127.445
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	seqscan	cached-os	142.527
btree	i5	1000000	cycle	1	1000000	5-sequential-lru	32	seqscan	uncached	392.359
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	bitmapscan	cached	7.719
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	bitmapscan	cached-os	7.666
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	bitmapscan	uncached	12.615
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	indexonlyscan	cached	7.358
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	indexonlyscan	cached-os	7.608
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	indexonlyscan	uncached	14.196
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	indexonlyscan-clean	cached	7.392
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	indexonlyscan-clean	cached-os	7.651
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	indexonlyscan-clean	uncached	12.724
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	indexscan	cached	7.641
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	indexscan	cached-os	7.635
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	indexscan	uncached	14.875
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	seqscan	cached	128.212
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	seqscan	cached-os	144.809
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	0	seqscan	uncached	367.674
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	bitmapscan	cached	7.613
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	bitmapscan	cached-os	7.756
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	bitmapscan	uncached	13.097
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	indexonlyscan	cached	7.45
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	indexonlyscan	cached-os	7.687
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	indexonlyscan	uncached	12.847
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	indexonlyscan-clean	cached	7.452
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	indexonlyscan-clean	cached-os	7.712
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	indexonlyscan-clean	uncached	15.003
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	indexscan	cached	7.741
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	indexscan	cached-os	8.036
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	indexscan	uncached	12.487
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	seqscan	cached	128.519
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	seqscan	cached-os	144.621
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	8	seqscan	uncached	396.413
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	bitmapscan	cached	7.567
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	bitmapscan	cached-os	7.934
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	bitmapscan	uncached	12.502
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	indexonlyscan	cached	7.594
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	indexonlyscan	cached-os	7.639
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	indexonlyscan	uncached	13.836
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	indexonlyscan-clean	cached	7.405
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	indexonlyscan-clean	cached-os	7.74
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	indexonlyscan-clean	uncached	12.464
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	indexscan	cached	7.648
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	indexscan	cached-os	8.048
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	indexscan	uncached	14.304
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	seqscan	cached	129.076
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	seqscan	cached-os	144.324
btree	i5	1000000	cycle	1	1000000	6-vm-optimized	32	seqscan	uncached	402.635
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	bitmapscan	cached	7.779
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	bitmapscan	cached-os	7.764
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	bitmapscan	uncached	12.513
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	indexonlyscan	cached	7.49
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	indexonlyscan	cached-os	7.752
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	indexonlyscan	uncached	13.577
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	indexonlyscan-clean	cached	7.438
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	indexonlyscan-clean	cached-os	7.755
