test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration best_plan correct_plan
btree xeon 1700752846 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan cached-os 4 744 1047 1425.47 23.344000 1 1
btree xeon 1700752847 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan cached 4 744 1047 1425.47 12.976000 1 1
btree xeon 1700752847 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan uncached 5 821 1042 19.36 136.055000 1 1
btree xeon 1700752847 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan cached-os 5 821 1042 19.36 20.318000 1 1
btree xeon 1700752847 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan cached 5 821 1042 19.36 10.707000 1 1
btree xeon 1700752848 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean uncached 5 857 940 19.32 11.410000 1 1
btree xeon 1700752849 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean cached-os 5 857 940 19.32 9.327000 1 1
btree xeon 1700752849 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean cached 5 857 940 19.32 9.048000 1 1
btree xeon 1700752849 1000000 random 1000 1000 1-master 32 43479 887 indexscan uncached 5 871 1076 1493.81 133.375000 0 1
btree xeon 1700752849 1000000 random 1000 1000 1-master 32 43479 887 indexscan cached-os 5 871 1076 1493.81 19.783000 0 1
btree xeon 1700752849 1000000 random 1000 1000 1-master 32 43479 887 indexscan cached 5 871 1076 1493.81 10.701000 0 1
btree xeon 1700752850 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan uncached 5 910 1018 1422.65 31.347000 1 1
btree xeon 1700752850 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan cached-os 5 910 1018 1422.65 23.124000 1 1
btree xeon 1700752850 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan cached 5 910 1018 1422.65 12.520000 1 1
btree xeon 1700752850 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan uncached 1 114 1013 19.32 127.336000 1 1
btree xeon 1700752851 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan cached-os 1 114 1013 19.32 20.700000 1 1
btree xeon 1700752851 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan cached 1 114 1013 19.32 11.013000 1 1
btree xeon 1700752852 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean uncached 1 125 940 19.29 12.841000 1 1
btree xeon 1700752852 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean cached-os 1 125 940 19.29 9.461000 1 1
btree xeon 1700752853 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean cached 1 125 940 19.29 9.005000 1 1
btree xeon 1700752853 1000000 random 1000 1000 1-master 8 43479 887 indexscan uncached 1 177 1022 1490.78 129.205000 0 1
btree xeon 1700752853 1000000 random 1000 1000 1-master 8 43479 887 indexscan cached-os 1 177 1022 1490.78 20.957000 0 1
btree xeon 1700752853 1000000 random 1000 1000 1-master 8 43479 887 indexscan cached 1 177 1022 1490.78 11.236000 0 1
btree xeon 1700752853 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan uncached 1 184 964 1419.84 41.868000 1 1
btree xeon 1700752854 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan cached-os 1 184 964 1419.84 21.597000 1 1
btree xeon 1700752854 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan cached 1 184 964 1419.84 11.964000 1 1
btree xeon 1700752854 1000000 random 1000 1000 1-master 8 43479 887 seqscan uncached 1 69 1009 55978.90 335.942000 0 1
btree xeon 1700752855 1000000 random 1000 1000 1-master 8 43479 887 seqscan cached-os 1 69 1009 55978.90 177.175000 0 1
btree xeon 1700752855 1000000 random 1000 1000 1-master 8 43479 887 seqscan cached 1 69 1009 55978.90 159.298000 0 1
btree xeon 1700752855 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan uncached 2 253 999 19.29 126.516000 1 1
btree xeon 1700752856 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan cached-os 2 253 999 19.29 19.653000 1 1
btree xeon 1700752856 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan cached 2 253 999 19.29 11.016000 1 1
btree xeon 1700752857 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean uncached 2 316 1020 19.32 11.816000 1 1
btree xeon 1700752857 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean cached-os 2 316 1020 19.32 10.027000 1 1
btree xeon 1700752858 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean cached 2 316 1020 19.32 9.606000 1 1
btree xeon 1700752858 1000000 random 1000 1000 1-master 8 43479 887 indexscan uncached 2 253 999 1493.82 114.632000 0 1
btree xeon 1700752858 1000000 random 1000 1000 1-master 8 43479 887 indexscan cached-os 2 253 999 1493.82 19.129000 0 1
btree xeon 1700752858 1000000 random 1000 1000 1-master 8 43479 887 indexscan cached 2 253 999 1493.82 10.792000 0 1
btree xeon 1700752858 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan uncached 2 270 997 1422.65 40.632000 1 1
btree xeon 1700752859 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan cached-os 2 270 997 1422.65 20.537000 1 1
btree xeon 1700752859 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan cached 2 270 997 1422.65 11.028000 1 1
btree xeon 1700752859 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan uncached 3 402 941 19.32 115.932000 1 1
btree xeon 1700752860 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan cached-os 3 402 941 19.32 19.127000 1 1
btree xeon 1700752860 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan cached 3 402 941 19.32 10.445000 1 1
btree xeon 1700752861 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean uncached 3 545 995 19.32 11.991000 1 1
btree xeon 1700752861 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean cached-os 3 545 995 19.32 9.097000 1 1
btree xeon 1700752861 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean cached 3 545 995 19.32 8.834000 1 1
btree xeon 1700752861 1000000 random 1000 1000 1-master 8 43479 887 indexscan uncached 3 523 1043 1493.75 129.645000 0 1
btree xeon 1700752862 1000000 random 1000 1000 1-master 8 43479 887 indexscan cached-os 3 523 1043 1493.75 20.180000 0 1
btree xeon 1700752862 1000000 random 1000 1000 1-master 8 43479 887 indexscan cached 3 523 1043 1493.75 10.905000 0 1
btree xeon 1700752862 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan uncached 3 409 1007 1422.65 42.055000 1 1
btree xeon 1700752862 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan cached-os 3 409 1007 1422.65 20.193000 1 1
btree xeon 1700752863 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan cached 3 409 1007 1422.65 11.502000 1 1
btree xeon 1700752863 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan uncached 4 742 971 19.32 124.002000 1 1
btree xeon 1700752863 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan cached-os 4 742 971 19.32 19.568000 1 1
btree xeon 1700752863 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan cached 4 742 971 19.32 10.732000 1 1
btree xeon 1700752864 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean uncached 4 787 991 19.30 13.156000 1 1
btree xeon 1700752865 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean cached-os 4 787 991 19.30 10.093000 1 1
btree xeon 1700752865 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean cached 4 787 991 19.30 9.460000 1 1
btree xeon 1700752865 1000000 random 1000 1000 1-master 8 43479 887 indexscan uncached 4 631 1000 1492.26 126.856000 0 1
btree xeon 1700752865 1000000 random 1000 1000 1-master 8 43479 887 indexscan cached-os 4 631 1000 1492.26 21.818000 0 1
btree xeon 1700752866 1000000 random 1000 1000 1-master 8 43479 887 indexscan cached 4 631 1000 1492.26 12.682000 0 1
btree xeon 1700752866 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan uncached 4 673 997 1421.24 43.725000 1 1
btree xeon 1700752866 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan cached-os 4 673 997 1421.24 22.516000 1 1
btree xeon 1700752866 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan cached 4 673 997 1421.24 12.756000 1 1
btree xeon 1700752866 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan uncached 5 948 1031 19.30 134.342000 1 1
btree xeon 1700752867 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan cached-os 5 948 1031 19.30 21.423000 1 1
btree xeon 1700752867 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan cached 5 948 1031 19.30 11.141000 1 1
btree xeon 1700752868 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean uncached 5 901 987 19.34 13.149000 1 1
btree xeon 1700752868 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean cached-os 5 901 987 19.34 9.630000 1 1
btree xeon 1700752869 1000000 random 1000 1000 1-master 8 43479 887 indexonlyscan-clean cached 5 901 987 19.34 8.845000 1 1
btree xeon 1700752869 1000000 random 1000 1000 1-master 8 43479 887 indexscan uncached 5 871 1076 1495.27 131.783000 0 1
btree xeon 1700752869 1000000 random 1000 1000 1-master 8 43479 887 indexscan cached-os 5 871 1076 1495.27 20.794000 0 1
btree xeon 1700752869 1000000 random 1000 1000 1-master 8 43479 887 indexscan cached 5 871 1076 1495.27 10.792000 0 1
btree xeon 1700752869 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan uncached 5 927 974 1424.06 39.456000 1 1
btree xeon 1700752870 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan cached-os 5 927 974 1424.06 20.004000 1 1
btree xeon 1700752870 1000000 random 1000 1000 1-master 8 43479 887 bitmapscan cached 5 927 974 1424.06 10.861000 1 1
btree xeon 1700752870 1000000 random 1000 1000 2-20231016 0 43479 887 indexonlyscan uncached 1 127 1053 19.34 132.866000 1 1
btree xeon 1700752871 1000000 random 1000 1000 2-20231016 0 43479 887 indexonlyscan cached-os 1 127 1053 19.34 21.847000 1 1
btree xeon 1700752871 1000000 random 1000 1000 2-20231016 0 43479 887 indexonlyscan cached 1 127 1053 19.34 11.589000 1 1
btree xeon 1700752872 1000000 random 1000 1000 2-20231016 0 43479 887 indexonlyscan-clean uncached 1 53 1054 19.29 12.719000 1 1
btree xeon 1700752872 1000000 random 1000 1000 2-20231016 0 43479 887 indexonlyscan-clean cached-os 1 53 1054 19.29 9.633000 1 1
btree xeon 1700752873 1000000 random 1000 1000 2-20231016 0 43479 887 indexonlyscan-clean cached 1 53 1054 19.29 9.135000 1 1
btree xeon 1700752873 1000000 random 1000 1000 2-20231016 0 43479 887 indexscan uncached 1 107 1015 1490.77 125.753000 0 1
btree xeon 1700752873 1000000 random 1000 1000 2-20231016 0 43479 887 indexscan cached-os 1 107 1015 1490.77 19.195000 0 1
btree xeon 1700752873 1000000 random 1000 1000 2-20231016 0 43479 887 indexscan cached 1 107 1015 1490.77 11.251000 0 1
btree xeon 1700752873 1000000 random 1000 1000 2-20231016 0 43479 887 bitmapscan uncached 1 110 988 1419.84 124.435000 1 1
btree xeon 1700752874 1000000 random 1000 1000 2-20231016 0 43479 887 bitmapscan cached-os 1 110 988 1419.84 19.425000 1 1
btree xeon 1700752874 1000000 random 1000 1000 2-20231016 0 43479 887 bitmapscan cached 1 110 988 1419.84 11.476000 1 1
btree xeon 1700752874 1000000 random 1000 1000 2-20231016 0 43479 887 seqscan uncached 1 132 1018 55978.90 344.940000 0 1
btree xeon 1700752875 1000000 random 1000 1000 2-20231016 0 43479 887 seqscan cached-os 1 132 1018 55978.90 173.290000 0 1
btree xeon 1700752875 1000000 random 1000 1000 2-20231016 0 43479 887 seqscan cached 1 132 1018 55978.90 160.714000 0 1
btree xeon 1700752875 1000000 random 1000 1000 2-20231016 0 43479 887 indexonlyscan uncached 2 273 965 19.29 120.435000 1 1
btree xeon 1700752876 1000000 random 1000 1000 2-20231016 0 43479 887 indexonlyscan cached-os 2 273 965 19.29 18.203000 1 1
btree xeon 1700752876 1000000 random 1000 1000 2-20231016 0 43479 887 indexonlyscan cached 2 273 965 19.29 10.144000 1 1
btree xeon 1700752877 1000000 random 1000 1000 2-20231016 0 43479 887 indexonlyscan-clean uncached 2 223 1053 19.29 13.513000 1 1
btree xeon 1700752877 1000000 random 1000 1000 2-20231016 0 43479 887 indexonlyscan-clean cached-os 2 223 1053 19.29 9.680000 1 1
btree xeon 1700752878 1000000 random 1000 1000 2-20231016 0 43479 887 indexonlyscan-clean cached 2 223 1053 19.29 9.016000 1 1
btree xeon 1700752878 1000000 random 1000 1000 2-20231016 0 43479 887 indexscan uncached 2 388 1059 2290.48 135.616000 0 1
btree xeon 1700752878 1000000 random 1000 1000 2-20231016 0 43479 887 indexscan cached-os 2 388 1059 2290.48 21.363000 0 1
